A angstrom.n.01
hummingbird hummingbird.n.01
brilliant bright.s.02
throat throat.n.04
color color.n.04
caused cause.v.01
feather feather.v.01
pigmentation pigmentation.n.01
rather rather.r.01
iridescence opalescence.n.01
arrangement agreement.n.04
feather feather.v.01
Light light.n.03
level horizontal_surface.n.01
moisture moisture.n.01
angle angle.n.01
viewing wake.n.04
wear clothing.n.01
tear pluck.v.05
factor factor.v.02
influence influence.n.03
bright bright.s.02
colorful colorful.a.01
throat throat.n.04
may may.n.01
appear appear.v.06
